country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","26-02-2026 19:00:00",11.654054,92.734055,PM2.5,35,45,38
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","26-02-2026 19:00:00",11.654054,92.734055,OZONE,11,13,12
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","26-02-2026 19:00:00",26.349082,92.68449,PM10,77,129,107
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","26-02-2026 19:00:00",26.349082,92.68449,NH3,4,4,4
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-02-2026 19:00:00",22.06631475,83.33820077,SO2,5,9,6
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-02-2026 19:00:00",22.06631475,83.33820077,OZONE,10,77,77
India,Delhi,Delhi,"Alipur, Delhi - DPCC","26-02-2026 19:00:00",28.815329,77.153010,PM2.5,55,362,217
India,Delhi,Delhi,"Alipur, Delhi - DPCC","26-02-2026 19:00:00",28.815329,77.153010,NO2,19,98,53
India,Delhi,Delhi,"Alipur, Delhi - DPCC","26-02-2026 19:00:00",28.815329,77.153010,SO2,7,17,11
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.647622,77.3158090,NO2,43,126,86
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.647622,77.3158090,CO,73,128,84
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.695381,77.181665,CO,6,29,15
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.695381,77.181665,OZONE,3,95,85
India,Delhi,Delhi,"Bawana, Delhi - DPCC","26-02-2026 19:00:00",28.776200,77.051074,PM2.5,55,390,252
India,Delhi,Delhi,"Bawana, Delhi - DPCC","26-02-2026 19:00:00",28.776200,77.051074,CO,23,83,30
